symbol,timeframe,strategy_id,strategy_name,status,trades,wins,losses,win_rate_pct,net_profit,total_return_pct,profit_factor,expectancy,max_drawdown_pct,sharpe,sortino,bars,error
USDJPY,1h,dpo_cycle_reversal,Detrended Price Oscillator Reversal,OK,41,8,33,19.51,-861.41,-8.61,0.44263395564214875,-21.01,8.61,-2.922,-3.551,288,
USDJPY,1h,ultimate_oscillator_divergence,Ultimate Oscillator Reversal,OK,89,66,23,74.16,2473.34,24.73,3.1448436882349875,27.79,3.18,4.81,6.266,288,
USDJPY,1h,rvi_signal_cross,Relative Vigor Index Cross,OK,20,16,4,80.0,2297.52,22.98,11.136879426157286,114.88,1.21,5.734,9.461,288,
USDJPY,1h,aroon_new_trend,Aroon New Trend,OK,9,2,7,22.22,-150.08,-1.5,0.7859069711157592,-16.68,4.68,-0.46,-0.523,288,
USDJPY,1h,ichimoku_kumo_breakout,Ichimoku Kumo Breakout,OK,9,5,4,55.56,1135.94,11.36,3.6175231647637855,126.22,1.58,3.42,3.596,288,
USDJPY,1h,psar_flip_trend,Parabolic SAR Flip,OK,23,17,6,73.91,3624.54,36.25,13.60073633758715,157.59,1.19,6.789,10.877,288,
USDJPY,1h,keltner_channel_breakout,Keltner Channel Breakout,OK,10,6,4,60.0,1210.32,12.1,12.209920341173623,121.03,1.41,3.412,4.368,288,
USDJPY,1h,donchian_channel_breakout,Donchian Channel Breakout,OK,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,288,
USDJPY,1h,fisher_transform_extreme,Fisher Transform Extreme Reversal,OK,32,5,27,15.62,-1328.35,-13.28,0.27755550377181243,-41.51,13.28,-3.675,-3.622,288,
USDJPY,1h,vwap_reversion,VWAP Mean Reversion,OK,14,6,8,42.86,-83.12,-0.83,0.7894908937991967,-5.94,2.96,-0.462,-0.321,288,
USDJPY,1h,stoch_rsi_double_confirm,Stochastic RSI Double Confirmation,OK,129,97,32,75.19,2741.32,27.41,3.039073122196664,21.25,2.55,4.956,5.895,288,
USDJPY,1h,trix_zero_cross,TRIX Zero-Line Cross,OK,18,2,16,11.11,-974.97,-9.75,0.20374509244430225,-54.16,9.75,-2.568,-2.576,288,
